"Address","Postal.Code","Location"
"Ferd-Porsche-Str 37-39","60386","Frankfurt"
"Von-Ardenne-Str. 8","48703","Stadtlohn"
"Esmarchstr. 50","25746","Heide"
"Am Laidhölzle 5","79224","Umkirch"
"Friedloser Str. 12","36251","Bad Hersfeld"
"Ludwig-Reichling-Str. 10-12","67059","Ludwigshafen"
"Fuggerstr. 24","92224","Amberg"
"Hildesheimer Str. 52","38640","Goslar"
"Neuer Weg NORD 47","69412","Eberbach"
"Hauptstr. 61","31008","Elze"
"Deichmannweg 9","45359","Essen"
"Knäppenstr. 26-30","33129","Delbrück"
"Hans-Böckler-Str. 80","45127","Essen"
"Herringhauser Str. 2","49163","Bohmte"
"Schloßstr. 13","04425","Taucha"
"Moraltpark 1G","83646","Bad Tölz"
"Herner Str. 21","45699","Herten"
"Zentralgebäude Terminal 1"," Ebene 04",""
"Walkmühlenweg 12","35745","Herborn"
"Würzburger Str. 5","97688","Bad Kissingen"
"Kanalstraße Süd 54","26629","Großefehn"
"Kreisbahnstr. 7","16727","Velten"
"Leverkusenstr. 29","22761","Hamburg"
"Am Markt 15","26506","Norden"
"Nürnberger Str.","97076","Würzburg"
"Franz-Kreuter-Str. 10","50823","Köln"
"Herrenberger Str. 10","72202","Nagold"
"Dieselstr. 7","","Bad Camberg"
"Ubierstr. 9","26723","Emden"
"Allee der Kosmonauten 28","12681","Berlin"
"Landshuter Str. 65","84030","Ergolding"
"FALDERBAUMSTR. 33 / 34123 KASSEL-WALDAU","34123","KASSEL"
"Marktplatz 4-6","56751","Polch"
"Emser Str. 20","12051","Berlin"
"Hauptstr. ","26452","Sande"
"Reuterstr. 16","18211","Admannshagen-Bargeshagen"
"Am Ring 118","","Bernkastel-Kues"
"Am Deisterbahnhof 6","31848","Bad Münder"
"Märkische Str. 18","42281","Wuppertal"
"Heinrich-Lemberg-Str. 29","45472","Mülheim"
"An der Zuckerfabrik 1","41516","Grevenbroich"
"Regensburger Str. 37","94036","Passau"
"Porscheplatz 1","70435","Stuttgart"
"Rudolf-Schmidt-Str. 7","91550","Dinkelsbühl"
"An der alten Ziegelei 36b / 48143 Münster","48143","Münster"
"Otto-Hahn-Str. 24","33104","Paderborn"
"Brahestr. 17","04347","Leipzig"
"Siemensring 12","53925","Kall"
"Hoher Weg 1-3","59494","Soest"
"Memminger Str. 140","87439","Kempten"
"Hannoversche Str. 111","49084","Osnabrück"
"Carnotstr. 7","39120","Magdeburg"
"Bürgerstr. 5","73525","Schwäbisch Gmünd"
"Schützenstr. 34","42281","Wuppertal"
"Werdohler Str. ","17153","Stavenhagen"
"Dr. Rudolf-Leiding-Platz 1 / 34225 Baunatal","34225","Baunatal"
"Trettachstr. 4","87719","Mindelheim"
"Purfinger Str. 7","85646","Neufarn"
"Limbacher Str. 61A","91126","Schwabach"
"Robert-Bosch-Str. 15","65520","Bad Camberg"
"Marktplatz 16","71032","Böblingen"
"Großhauserstr. 11","","Heretsried-Lauterbrunn"
"Röntgenstraße 37 / 48432 Rheine","48432","Rheine"
"Zeppelin-Str. 32","84544","Aschau"
"Siemensstr. 10","34466","Wolfhagen"
"Kurt-Schumacher-Str. 14","91052","Erlangen"
"Mündelheimer Weg 40","40472","Düsseldorf"
"Rastatter Str. 14 16","76461","Muggensturm"
"Weststr. 8","02708","Löbau"
"Rostocker Chaussee 6-8","18437","Stralsund"
"Gottlieb-Daimler-Str. 5","35398","Gießen"
"Daimlerstr. 14","72793","Pfullingen"
"Kölner Str. 296","51702","Bergneustadt"
"Hauptstr. 16","48485","Neuenkirchen"
"Robert-Bosch-Str. 11","74523","Schwäbisch Hall"
"Oberer Marktplatz 21","","Auerbach"
"Wilhelmstr. 12","","Kaiserslautern"
"Am Christnersee 4","63796","Kahl"
"Waldenbucher Str. 30","72631","Aichtal"
"Hindenburgstr. 110","26757","Borkum"
"Industriegebiet ","56242","Selters"
"Gottlieb-Daimler-Str. 10-22","50226","Frechen"
"Petersstr. 84","26382","WILHELMSHAVEN"
"Glashüttenstr. 44","15890","Eisenhüttenstadt"
"Dr.-Walter-Zoth-Allee 1","56479","Westernohe"
"Röntgenstr. 17","73730","Esslingen"
"Nassauerallee 15-23","47533","Kleve"
"Bahnhofstr. 5","26506","Norden"
"Mathildenstr. 29 1","71638","Ludwigsburg"
"Rheinstr. 8","14513","Teltow"
"Stollwerckstr. 23","51149","Köln"
"Boostedter Str. 301","24539","Neumünster"
"Westrickweg 1","59302","Oelde"
"Krüner Straße 117","","München"
"Ratsteich 8","24837","Schleswig"
"An der Vogelstange 2A","52428","Jülich"
"Zentnerstr. 17","80798","München"
"Am Markt 1","49685","Emstek"
"Unterkotzauer Weg 25","95028","Hof"
"Max-Stromeyer-Str. 21-29","78467","Konstanz"
"Felix-Wankel-Str. 6","88339","Bad Waldsee"
"Friedländer Landstr. 17","17389","Anklam"
"Bramfelder Chaussee 130","22177","Hamburg"
"Sevelter Str. 8","49661","Cloppenburg"
"De-Gasperi-Str. 4","51469","Bergisch Gladbach"
"NEEFESTR. 86C / 09116 CHEMNITZ-KAPPEL","9116","Chemnitz"
"Hauptstr. 28","71154","Nufringen"
"Röntgenstr. 20","63225","Langen"
"Fürstenrieder Str. 279","81377","München"
"Einsteinstr. 5","79108","Freiburg"
"ZWEIFALLER STR. 275-287 / 52224 STOLBERG (RHLD.)-VICHT","52224","STOLBERG (RHLD.)"
"Hauptstr. 2","31020","Salzhemmendorf"
"Truchtelfinger Str. 1","72475","Bitz"
"Susannenstr. 26-28","20357","Hamburg"
"Annastr. 16","86150","Augsburg"
"Siemensstr. 21","59199","Bönen"
"Münchner Str. 32","82256","Fürstenfeldbruck"
"Am Wasserschloß 2","02977","Hoyerswerda"
"LAMBERGSTR. 33 / 83278 TRAUNSTEIN-HASLACH","83278","TRAUNSTEIN"
"Bismarckstr. 33","35279","Neustadt"
"Obere Bahnstr. 11","08393","Meerane"
" ","77613","Offenburg"
"Krähenweg 19","22459","Hamburg"
"Poststr. 4","59174","Kamen"
"Dammweg 13","64807","Dieburg"
"Wege 5","06667","Weißenfels"
"Bötzseestr. 118A","15345","Eggersdorf"
"Langenhagener Str. 1","30827","Garbsen"
"Ziegelkamp 8","21614","Buxtehude"
"Spitalhofstr. 99","94032","Passau"
"Nienborger Damm 32","48607","Ochtrup"
"Bürgermeister-Hippen-Platz 1","26603","Aurich"
"Innstr. 76","94032","Passau"
"Mönckebergstr. 25","20095","Hamburg"
"Frankfurter Str. 24","64521","Groß-Gerau"
"In den Käppeleswiesen 7","72488","Sigmaringen"
"De-Gasperi-Str. 18","52146","Würselen"
"Lötsch 5A","41334","Nettetal"
"Hansestr. 46 / 38112 Braunschweig","38112","Braunschweig"
"Bahnhof 1","32825","Blomberg"
"Friedrichstr. 12","55232","Alzey"
"Kisdorfer Weg 36-38","24568","Kaltenkirchen"
"Geraer Str. 74","07646","Stadtroda"
"Rathausstr. 48","56203","Höhr-Grenzhausen"
